"","sid","sample","time","context_A","context_B","st","test_A","test_B","response","same_freq"
"1","CK",1,0.24,1,1,0,300,424,0,FALSE
"2","CK",2,0.48,1,1,0,300,424,0,FALSE
"3","CK",3,0.72,1,1,0,300,424,0,FALSE
"4","CK",4,0.96,1,1,0,300,424,0,FALSE
"5","CK",5,1.2,1,1,0,300,424,0,FALSE
"6","CK",6,1.44,1,1,0,300,424,0,FALSE
"7","CK",7,1.68,1,1,0,300,424,0,FALSE
"8","CK",8,1.92,1,1,0,300,424,0,FALSE
"9","CK",9,2.16,1,1,0,300,424,0,FALSE
"10","CK",10,2.4,1,1,0,300,424,0,FALSE
"11","CK",11,2.64,1,1,0,300,424,0,FALSE
"12","CK",12,2.88,1,1,0,300,424,0,FALSE
"13","CK",13,3.12,1,1,0,300,424,0,FALSE
"14","CK",14,3.36,1,1,0,300,424,0,FALSE
"15","CK",15,3.6,1,1,0,300,424,0,FALSE
"16","CK",16,3.84,1,1,0,300,424,0,FALSE
"17","CK",17,4.08,1,1,0,300,424,0,FALSE
"18","CK",18,4.32,1,1,0,300,424,0,FALSE
"19","CK",19,4.56,1,1,0,300,424,0,FALSE
"20","CK",20,4.8,1,1,0,300,424,0,FALSE
"21","CK",21,5.04,1,1,0,300,424,0,FALSE
"22","CK",22,5.28,1,1,0,300,424,0,FALSE
"23","CK",23,5.52,1,1,0,300,424,0,FALSE
"24","CK",24,5.76,1,1,0,300,424,0,FALSE
"25","CK",25,6,1,1,0,300,424,0,FALSE
"26","CK",26,6.24,1,1,0,300,424,0,FALSE
"27","CK",27,6.48,1,1,0,300,424,0,FALSE
"28","CK",28,6.72,1,1,0,300,424,0,FALSE
"29","CK",29,6.96,1,1,0,300,424,0,FALSE
"30","CK",30,7.2,1,1,0,300,424,0,FALSE
"31","CK",31,7.44,1,1,0,300,424,0,FALSE
"32","CK",32,7.68,1,1,0,300,424,0,FALSE
"33","CK",33,7.92,1,1,0,300,424,0,FALSE
"34","CK",34,8.16,1,1,0,300,424,0,FALSE
"35","CK",35,8.4,1,1,0,300,424,0,FALSE
"36","CK",36,8.64,1,1,0,300,424,0,FALSE
"37","CK",37,8.88,1,1,0,300,424,0,FALSE
"38","CK",38,9.12,1,1,0,300,424,0,FALSE
"39","CK",39,9.36,1,1,0,300,424,0,FALSE
"40","CK",40,9.6,1,1,0,300,424,0,FALSE
"41","CK",41,9.84,1,1,0,300,424,0,FALSE
"42","CK",42,10.08,1,1,0,300,424,0,FALSE
"43","CK",43,10.32,1,1,0,300,424,0,FALSE
"44","CK",44,10.56,1,1,0,300,424,0,FALSE
"45","CK",45,10.8,1,1,0,300,424,0,FALSE
"46","CK",46,11.04,1,1,0,300,424,1,FALSE
"47","CK",47,11.28,1,1,0,300,424,1,FALSE
"48","CK",48,11.52,1,1,0,300,424,1,FALSE
"49","CK",49,11.76,1,1,0,300,424,1,FALSE
"50","CK",50,12,1,1,0,300,424,1,FALSE
"51","CK",51,12.24,1,1,0,300,424,1,FALSE
"52","CK",52,12.48,1,1,0,300,424,1,FALSE
"53","CK",53,12.72,1,1,0,300,424,1,FALSE
"54","CK",54,12.96,1,1,0,300,424,1,FALSE
"55","CK",55,13.2,1,1,0,300,424,1,FALSE
"56","CK",56,13.44,1,1,0,300,424,1,FALSE
"57","CK",57,13.68,1,1,0,300,424,1,FALSE
"58","CK",58,13.92,1,1,0,300,424,1,FALSE
"59","CK",59,14.16,1,1,0,300,424,0,FALSE
"60","CK",60,14.4,1,1,0,300,424,0,FALSE
"61","CK",61,14.64,1,1,0,300,424,0,FALSE
"62","CK",62,14.88,1,1,0,300,424,0,FALSE
"63","CK",1,0.24,1,1,0,300,424,0,FALSE
