"","experiment","sid","st","streaming"
"1",1,3,3,0
"2",1,3,6,0.684210526315789
"3",1,3,12,0.880952380952381
"4",1,4,3,0.325
"5",1,4,6,0.402597402597403
"6",1,4,12,0.864197530864197
"7",1,5,3,NA
"8",1,5,6,NA
"9",1,5,12,NA
"10",1,6,3,0.132530120481928
"11",1,6,6,0.311688311688312
"12",1,6,12,0.853658536585366
"13",1,7,3,NA
"14",1,7,6,NA
"15",1,7,12,NA
"16",1,8,3,0.273809523809524
"17",1,8,6,0.578947368421053
"18",1,8,12,0.710843373493976
"19",1,9,3,0
"20",1,9,6,0.512820512820513
"21",1,9,12,0.949367088607595
"22",1,10,3,NA
"23",1,10,6,1
"24",1,10,12,1
"25",1,11,3,NA
"26",1,11,6,NA
"27",1,11,12,NA
"28",1,13,3,0.6
"29",1,13,6,NA
"30",1,13,12,NA
"31",1,14,3,0.0909090909090909
"32",1,14,6,0.384615384615385
"33",1,14,12,0.962025316455696
"34",1,15,3,NA
"35",1,15,6,0.835294117647059
"36",1,15,12,0.87012987012987
"37",1,16,3,0.0379746835443038
"38",1,16,6,0.794871794871795
"39",1,16,12,0.923076923076923
"40",1,17,3,NA
"41",1,17,6,NA
"42",1,17,12,NA
"43",1,18,3,0.0116279069767442
"44",1,18,6,0.555555555555556
"45",1,18,12,0.828947368421053
"46",1,19,3,0.2
"47",1,19,6,0.869047619047619
"48",1,19,12,1
"49",1,20,3,0.24390243902439
"50",1,20,6,0.721518987341772
"51",1,20,12,1
"52",1,21,3,0.0886075949367089
"53",1,21,6,0.464285714285714
"54",1,21,12,0.753246753246753
"55",1,22,3,0
"56",1,22,6,NA
"57",1,22,12,1
"58",1,23,3,0
"59",1,23,6,0.451219512195122
"60",1,23,12,0.964285714285714
"61",1,24,3,0.0357142857142857
"62",1,24,6,0.855421686746988
"63",1,24,12,1
"64",1,25,3,NA
"65",1,25,6,0.28
"66",1,25,12,1
"67",1,26,3,0.71
"68",1,26,6,NA
"69",1,26,12,NA
"70",1,27,3,0.15
"71",1,27,6,0.76
"72",1,27,12,1
"73",1,28,3,0
"74",1,28,6,0.93
"75",1,28,12,1
"76",1,29,3,NA
"77",1,29,6,NA
"78",1,29,12,NA
"79",1,30,3,0.15
"80",1,30,6,0.86
"81",1,30,12,1
"82",1,31,3,0.3
"83",1,31,6,0.63
"84",1,31,12,0.93
"85",1,32,3,0.19
"86",1,32,6,0.88
"87",1,32,12,0.95
"88",2,2,3,NA
"89",2,2,6,NA
"90",2,2,12,NA
"91",2,3,3,NA
"92",2,3,6,NA
"93",2,3,12,NA
"94",2,4,3,NA
"95",2,4,6,NA
"96",2,4,12,NA
"97",2,5,3,0
"98",2,5,6,0.35
"99",2,5,12,1
"100",2,6,3,0.09
"101",2,6,6,0.31
"102",2,6,12,0.95
"103",2,7,3,NA
"104",2,7,6,NA
"105",2,7,12,NA
"106",2,8,3,0.08
"107",2,8,6,0.67
"108",2,8,12,0.98
"109",2,9,3,0.05
"110",2,9,6,0.09
"111",2,9,12,0.63
"112",2,10,3,NA
"113",2,10,6,NA
"114",2,10,12,0.98
"115",2,11,3,0.07
"116",2,11,6,0.51
"117",2,11,12,0.96
"118",2,12,3,0.14
"119",2,12,6,0.21
"120",2,12,12,0.98
"121",2,13,3,0.11
"122",2,13,6,0.73
"123",2,13,12,1
"124",2,14,3,0.23
"125",2,14,6,NA
"126",2,14,12,NA
"127",2,15,3,0.4
"128",2,15,6,0.4
"129",2,15,12,0.45
"130",2,16,3,0.02
"131",2,16,6,NA
"132",2,16,12,0.95
"133",2,17,3,0
"134",2,17,6,0.54
"135",2,17,12,NA
"136",2,18,3,NA
"137",2,18,6,NA
"138",2,18,12,NA
"139",2,19,3,0
"140",2,19,6,0.15
"141",2,19,12,0.95
"142",2,20,3,0.4
"143",2,20,6,0.47
"144",2,20,12,0.94
"145",2,21,3,NA
"146",2,21,6,0.28
"147",2,21,12,1
"148",2,22,3,NA
"149",2,22,6,NA
"150",2,22,12,NA
"151",2,23,3,0.17
"152",2,23,6,0.68
"153",2,23,12,0.95
"154",2,24,3,0.02
"155",2,24,6,0.35
"156",2,24,12,1
"157",2,25,3,0
"158",2,25,6,0.85
"159",2,25,12,1
"160",2,26,3,0.01
"161",2,26,6,NA
"162",2,26,12,0.99
"163",2,27,3,0.01
"164",2,27,6,0.71
"165",2,27,12,0.73
"166",2,28,3,0.08
"167",2,28,6,0.65
"168",2,28,12,0.97
"169",2,29,3,0.12
"170",2,29,6,0.96
"171",2,29,12,0.97
"172",2,30,3,NA
"173",2,30,6,NA
"174",2,30,12,NA
"175",2,31,3,NA
"176",2,31,6,NA
"177",2,31,12,0.9
"178",2,32,3,0
"179",2,32,6,0.7
"180",2,32,12,NA
"181",2,33,3,0
"182",2,33,6,0.75
"183",2,33,12,1
"184",2,34,3,0.05
"185",2,34,6,0.54
"186",2,34,12,0.97
"187",2,35,3,0.08
"188",2,35,6,0.52
"189",2,35,12,0.99
